137.2	2	4	4
137.92	3	4	4
138.64	4	4	4
139.36	1	4	4
140.08	2	4	4
140.8	3	4	4
141.52	4	4	4
142.24	1	4	4
142.96	2	4	4
143.68	3	4	4
144.4	4	4	4
145.12	1	4	4
145.84	2	4	4
146.56	3	4	4
147.28	4	4	4
148.0	1	4	4
148.72	2	4	4
149.44	3	4	4
150.16	4	4	4
150.88	1	4	4
151.6	2	4	4
152.32	3	4	4
153.04	4	4	4
153.76	1	4	4
154.48	2	4	4
155.2	3	4	4
155.92	4	4	4
156.64	1	4	4
157.36	2	4	4
158.08	3	4	4
158.8	4	4	4
159.52	1	4	4
160.24	2	4	4
160.96	3	4	4
161.68	4	4	4
162.4	1	4	4
163.12	2	4	4
163.84	3	4	4
164.56	4	4	4
165.28	1	4	4
166.0	2	4	4
166.72	3	4	4
167.44	4	4	4
168.16	1	4	4
168.88	2	4	4
169.6	3	4	4
170.32	4	4	4
171.04	1	4	4
171.76	2	4	4
172.48	3	4	4
173.2	4	4	4
173.92	1	4	4
174.64	2	4	4
175.36	3	4	4
176.08	4	4	4
176.8	1	4	4
177.52	2	4	4
178.24	3	4	4
178.96	4	4	4
179.68	1	4	4
180.4	2	4	4
181.12	3	4	4
181.84	4	4	4
182.56	1	4	4
183.28	2	4	4
184.0	3	4	4
184.72	4	4	4
185.44	1	4	4
186.16	2	4	4
186.88	3	4	4
187.6	4	4	4
188.32	1	4	4
189.04	2	4	4
189.76	3	4	4
190.48	4	4	4
191.2	1	4	4
191.92	2	4	4
192.64	3	4	4
193.36	4	4	4
194.08	1	4	4
194.8	2	4	4
195.68	3	4	4
196.4	4	4	4
197.12	1	4	4
197.84	2	4	4
198.56	3	4	4
199.28	4	4	4
200.0	1	4	4
200.72	2	4	4
201.44	3	4	4
202.16	4	4	4
202.88	1	4	4
203.6	2	4	4
204.32	3	4	4
205.04	4	4	4
205.76	1	4	4
206.48	2	4	4
207.2	3	4	4
207.92	4	4	4
208.64	1	4	4
209.35999999999999	2	4	4
210.07999999999998	3	4	4
210.79999999999998	4	4	4
211.51999999999998	1	4	4
212.23999999999998	2	4	4
212.95999999999998	3	4	4
213.67999999999998	4	4	4
214.39999999999998	1	4	4
215.11999999999998	2	4	4
215.83999999999997	3	4	4
216.56	4	4	4
217.28	1	4	4
218.0	2	4	4
218.72	3	4	4
219.44	4	4	4
220.16	1	4	4
220.88	2	4	4
221.6	3	4	4
222.32	4	4	4
223.04	1	4	4
223.76	2	4	4
224.48	3	4	4
225.2	4	4	4
225.92	1	4	4
226.64	2	4	4
227.35999999999999	3	4	4
228.07999999999998	4	4	4
228.79999999999998	1	4	4
229.51999999999998	2	4	4
230.23999999999998	3	4	4
230.95999999999998	4	4	4
231.67999999999998	1	4	4
232.39999999999998	2	4	4
233.11999999999998	3	4	4
233.83999999999997	4	4	4
234.56	1	4	4
235.28	2	4	4
236.0	3	4	4
236.72	4	4	4
237.44	1	4	4
238.16	2	4	4
238.88	3	4	4
239.6	4	4	4
240.32	1	4	4
241.04	2	4	4
241.76	3	4	4
242.48	4	4	4
243.2	1	4	4
243.92	2	4	4
244.64	3	4	4
245.35999999999999	4	4	4
246.07999999999998	1	4	4
246.79999999999998	2	4	4
247.51999999999998	3	4	4
248.23999999999998	4	4	4
248.95999999999998	1	4	4
249.67999999999998	2	4	4
250.39999999999998	3	4	4
251.11999999999998	4	4	4
251.83999999999997	1	4	4
252.56	2	4	4
253.28	3	4	4
254.0	4	4	4
254.72	1	4	4
255.44	2	4	4
256.15999999999997	3	4	4
256.88	4	4	4
257.6	1	4	4
258.32	2	4	4
259.03999999999996	3	4	4
259.76	4	4	4
260.48	1	4	4
261.2	2	4	4
261.91999999999996	3	4	4
262.64	4	4	4
263.36	1	4	4
264.08	2	4	4
264.79999999999995	3	4	4
265.52	4	4	4
266.24	1	4	4
266.96	2	4	4
267.67999999999995	3	4	4
268.44	4	4	4
269.15999999999997	1	4	4
269.88	2	4	4
270.6	3	4	4
271.32	4	4	4
272.03999999999996	1	4	4
272.76	2	4	4
273.48	3	4	4
274.2	4	4	4
274.91999999999996	1	4	4
275.64	2	4	4
276.36	3	4	4
277.08	4	4	4
277.79999999999995	1	4	4
278.52	2	4	4
279.24	3	4	4
279.96	4	4	4
280.67999999999995	1	4	4
281.4	2	4	4
282.12	3	4	4
282.84	4	4	4
283.56	1	4	4
284.28	2	4	4
285.0	3	4	4
285.72	4	4	4
286.44	1	4	4
287.15999999999997	2	4	4
287.88	3	4	4
288.6	4	4	4
289.32	1	4	4
290.03999999999996	2	4	4
290.76	3	4	4
291.48	4	4	4
292.2	1	4	4
292.91999999999996	2	4	4
293.64	3	4	4
294.36	4	4	4
295.08	1	4	4
295.79999999999995	2	4	4
296.52	3	4	4
297.24	4	4	4
297.96	1	4	4
298.67999999999995	2	4	4
299.4	3	4	4
300.12	4	4	4
300.84	1	4	4
301.56	2	4	4
302.28	3	4	4
303.0	4	4	4
303.72	1	4	4
304.44	2	4	4
305.15999999999997	3	4	4
305.88	4	4	4
306.6	1	4	4
307.32	2	4	4
308.03999999999996	3	4	4
308.76	4	4	4
309.48	1	4	4
310.2	2	4	4
310.91999999999996	3	4	4
311.64	4	4	4
312.36	1	4	4
313.08	2	4	4
313.79999999999995	3	4	4
314.52	4	4	4
315.24	1	4	4
315.96	2	4	4
316.68	3	4	4
317.4	4	4	4
318.12	1	4	4
318.84	2	4	4
319.56	3	4	4
320.28	4	4	4
321.0	1	4	4
321.71999999999997	2	4	4
322.44	3	4	4
323.15999999999997	4	4	4
323.88	1	4	4
324.59999999999997	2	4	4
325.32	3	4	4
326.03999999999996	4	4	4
326.76	1	4	4
327.47999999999996	2	4	4
328.2	3	4	4
328.92	4	4	4
329.64	1	4	4
330.36	2	4	4
331.08	3	4	4
331.8	4	4	4
332.52	1	4	4
333.24	2	4	4
333.96	3	4	4
334.68	4	4	4
335.4	1	4	4
336.12	2	4	4
336.84	3	4	4
337.56	4	4	4
338.28	1	4	4
339.0	2	4	4
339.71999999999997	3	4	4
340.44	4	4	4
341.15999999999997	1	4	4
341.88	2	4	4
342.59999999999997	3	4	4
343.32	4	4	4
